11 11	\b11.*\b11.*	\b1.*\b1.*\b .*\b1.*\b1.*	null
Acta Otorhinolaryngologica Italica	\bActa.*\bOtorhinolaryngologica.*\bItalica.*	null	null
Acta Paediatrica	\bActa.*\bPaediatrica.*	null	null
Acta Paediatrica International Journal of Paediatrics	\bActa.*\bPaediatrica.*\bInternational.*\bJournal.*\bof.*\bPaediatrics.*	null	null
Acta Path microbiol scand sect a	\bActa.*\bPath.*\bmicrobiol.*\bscand.*\bsect.*\ba.*	null	null
Acta Pathologica Microbiologica Scandinavica Section A Pathology	\bActa.*\bPathologica.*\bMicrobiologica.*\bScandinavica.*\bSection.*\bA.*\bPathology.*	null	null
Acta Pediatrica	\bActa.*\bPediatrica.*	null	null
Acta gastro enterologica belgica	\bActa.*\bgastro.*\benterologica.*\bbelgica.*	null	null
Acta oncologica Stockholm Sweden	\bActa.*\boncologica.*\bStockholm.*\bSweden.*	null	null
Altern Ther Health Med	\bAltern.*\bTher.*\bHealth.*\bMed.*	null	null
Alternative Therapies In Health And Medicine	\bAlternative.*\bTherapies.*\bIn.*\bHealth.*\bAnd.*\bMedicine.*	null	null
Alternatives to laboratory animals	\bAlternatives.*\bto.*\blaboratory.*\banimals.*	null	null
Altex	\bAltex.*	null	null
Altexalternativen Zu Tierexperimenten	\bAltexalternativen.*\bZu.*\bTierexperimenten.*	null	null
Altexalternatives To Animal Experimentation	\bAltexalternatives.*\bTo.*\bAnimal.*\bExperimentation.*	null	null
Am J Clin Nutr	\bAm.*\bJ.*\bClin.*\bNutr.*	null	null
Am J Dig Dis	\bAm.*\bJ.*\bDig.*\bDis.*	null	null
Am J Gastroenterol	\bAm.*\bJ.*\bGastroenterol.*	null	null
Am J Med Sci 307	\bAm.*\bJ.*\bMed.*\bSci.*\b307.*	null	null
Am J Med Sci 307 Suppl	\bAm.*\bJ.*\bMed.*\bSci.*\b307.*\bSuppl.*	null	null
Am J Pathol	\bAm.*\bJ.*\bPathol.*	null	null
Am J Physiol	\bAm.*\bJ.*\bPhysiol.*	null	null
Am J Physiol Renal Physiol	\bAm.*\bJ.*\bPhysiol.*\bRenal.*\bPhysiol.*	null	null
Am J Roentgenol	\bAm.*\bJ.*\bRoentgenol.*	null	null
Am J Transl Res	\bAm.*\bJ.*\bTransl.*\bRes.*	null	null
Am Soc Clin Oncol Educ Book	\bAm.*\bSoc.*\bClin.*\bOncol.*\bEduc.*\bBook.*	null	null
Am Surg	\bAm.*\bSurg.*	null	null
Amer J	\bAmer.*\bJ.*	null	null
Amer J Dig Dis	\bAmer.*\bJ.*\bDig.*\bDis.*	null	null
American Journal Of Clinical Nutrition	\bAmerican.*\bJournal.*\bOf.*\bClinical.*\bNutrition.*	null	null
American Journal Of Critical Care	\bAmerican.*\bJournal.*\bOf.*\bCritical.*\bCare.*	null	null
American Journal Of Pathology	\bAmerican.*\bJournal.*\bOf.*\bPathology.*	null	null
American Journal Of The Medical Sciences	\bAmerican.*\bJournal.*\bOf.*\bThe.*\bMedical.*\bSciences.*	null	null
American Journal Of Translational Research	\bAmerican.*\bJournal.*\bOf.*\bTranslational.*\bResearch.*	null	null
American Journal of Digestive Diseases	\bAmerican.*\bJournal.*\bof.*\bDigestive.*\bDiseases.*	null	null
American Journal of Optometry Archives of American Academy of Optometry	\bAmerican.*\bJournal.*\bof.*\bOptometry.*\bArchives.*\bof.*\bAmerican.*\bAcademy.*\bof.*\bOptometry.*	null	null
American Journal of Pathology	\bAmerican.*\bJournal.*\bof.*\bPathology.*	null	null
American Journal of Physical Medicine Rehabilitation	\bAmerican.*\bJournal.*\bof.*\bPhysical.*\bMedicine.*\bRehabilitation.*	null	null
American Journal of Physiology Heart and Circulatory Physiology	\bAmerican.*\bJournal.*\bof.*\bPhysiology.*\bHeart.*\band.*\bCirculatory.*\bPhysiology.*	null	null
American Journal of Physiology Renal Physiology	\bAmerican.*\bJournal.*\bof.*\bPhysiology.*\bRenal.*\bPhysiology.*	null	null
American Journal of Respiratory and Critical Care Medicine	\bAmerican.*\bJournal.*\bof.*\bRespiratory.*\band.*\bCritical.*\bCare.*\bMedicine.*	null	null
American Society of Clinical Oncology educational book American Society of Clinical Oncology Annual Meeting	\bAmerican.*\bSociety.*\bof.*\bClinical.*\bOncology.*\beducational.*\bbook.*\bAmerican.*\bSociety.*\bof.*	null	null
American Surgeon	\bAmerican.*\bSurgeon.*	null	null
American journal of gastroenterology	\bAmerican.*\bjournal.*\bof.*\bgastroenterology.*	null	null
American journal of optometry and archives of American Academy of Optometry	\bAmerican.*\bjournal.*\bof.*\boptometry.*\band.*\barchives.*\bof.*\bAmerican.*\bAcademy.*\bof.*	null	null
American journal of pathology	\bAmerican.*\bjournal.*\bof.*\bpathology.*	null	null
American journal of roentgenology	\bAmerican.*\bjournal.*\bof.*\broentgenology.*	null	null
Amerj Optom	\bAmerj.*\bOptom.*	null	null
Amia	\bAmia.*	null	null
Anal Quant Cytopathol Histopathol	\bAnal.*\bQuant.*\bCytopathol.*\bHistopathol.*	null	null
Analytical and quantitative cytopathology and histopathology	\bAnalytical.*\band.*\bquantitative.*\bcytopathology.*\band.*\bhistopathology.*	null	null
Anevryshe arterio ueineux splenique operi	\bAnevryshe.*\barterio.*\bueineux.*\bsplenique.*\boperi.*	null	null
Ann Agric Environ Med	\bAnn.*\bAgric.*\bEnviron.*\bMed.*	null	null
Ann Biol Clin	\bAnn.*\bBiol.*\bClin.*	null	null
Ann Hepatol	\bAnn.*\bHepatol.*	null	null
Ann Ital Chir	\bAnn.*\bItal.*\bChir.*	null	null
Ann N Y Acad Sci	\bAnn.*\bN.*\bY.*\bAcad.*\bSci.*	null	null
Ann New York Acad Sci	\bAnn.*\bNew.*\bYork.*\bAcad.*\bSci.*	null	null
Ann Occup Hyg	\bAnn.*\bOccup.*\bHyg.*	null	null
Ann Radiol	\bAnn.*\bRadiol.*	null	null
Ann Thorac Med	\bAnn.*\bThorac.*\bMed.*	null	null
Annales De Biologie Clinique	\bAnnales.*\bDe.*\bBiologie.*\bClinique.*	null	null
Annales de Medecine Interne	\bAnnales.*\bde.*\bMedecine.*\bInterne.*	null	null
Annales de Radiologie	\bAnnales.*\bde.*\bRadiologie.*	null	null
Annales de Radiologie Medecine Nucleaire	\bAnnales.*\bde.*\bRadiologie.*\bMedecine.*\bNucleaire.*	null	null
Annali italiani di chirurgia	\bAnnali.*\bitaliani.*\bdi.*\bchirurgia.*	null	null
Annals Academy Of Medicine Singapore	\bAnnals.*\bAcademy.*\bOf.*\bMedicine.*\bSingapore.*	null	null
Annals Of Agricultural And Environmental Medicine	\bAnnals.*\bOf.*\bAgricultural.*\bAnd.*\bEnvironmental.*\bMedicine.*	null	null
Annals Of Hepatology	\bAnnals.*\bOf.*\bHepatology.*	null	null
Annals Of Occupational Hygiene	\bAnnals.*\bOf.*\bOccupational.*\bHygiene.*	null	null
Annals Of The New York Academy Of Sciences	\bAnnals.*\bOf.*\bThe.*\bNew.*\bYork.*\bAcademy.*\bOf.*\bSciences.*	null	null
Annals of Hepatology	\bAnnals.*\bof.*\bHepatology.*	null	null
Annals of Internal Medicine	\bAnnals.*\bof.*\bInternal.*\bMedicine.*	null	null
Annals of the New York Academy of Sciences	\bAnnals.*\bof.*\bthe.*\bNew.*\bYork.*\bAcademy.*\bof.*\bSciences.*	null	null
Annjudiol	\bAnnjudiol.*	null	null
Anz Journal Of Surgery	\bAnz.*\bJournal.*\bOf.*\bSurgery.*	null	null
Arch Argent Pediatr	\bArch.*\bArgent.*\bPediatr.*	null	null
Arch Int Pharmacodyn	\bArch.*\bInt.*\bPharmacodyn.*	null	null
Arch Intern Med	\bArch.*\bIntern.*\bMed.*	null	null
ArchInternMed	\bArchInternMed.*	null	null
Archives of Internal Medicine	\bArchives.*\bof.*\bInternal.*\bMedicine.*	null	null
Archives of Physical Medicine and Rehabilitation	\bArchives.*\bof.*\bPhysical.*\bMedicine.*\band.*\bRehabilitation.*	null	null
Archivos Argentinos de Pediatria	\bArchivos.*\bArgentinos.*\bde.*\bPediatria.*	null	null
Arzneimittel Forschung	\bArzneimittel.*\bForschung.*	null	null
Arzneimittelforschungdrug Research	\bArzneimittelforschungdrug.*\bResearch.*	null	null
Asia Pac J Clin Nutr	\bAsia.*\bPac.*\bJ.*\bClin.*\bNutr.*	null	null
Asia Pacific Journal Of Clinical Nutrition	\bAsia.*\bPacific.*\bJournal.*\bOf.*\bClinical.*\bNutrition.*	null	null
Asian Pac J Cancer Prev	\bAsian.*\bPac.*\bJ.*\bCancer.*\bPrev.*	null	null
Asian Pacific journal of cancer prevention	\bAsian.*\bPacific.*\bjournal.*\bof.*\bcancer.*\bprevention.*	null	null
Association of Academic Physiatrists	\bAssociation.*\bof.*\bAcademic.*\bPhysiatrists.*	null	null
Atla alternatives To Laboratory Animals	\bAtla.*\balternatives.*\bTo.*\bLaboratory.*\bAnimals.*	null	null
Aviat Space Environ Med	\bAviat.*\bSpace.*\bEnviron.*\bMed.*	null	null
Aviation Space And Environmental Medicine	\bAviation.*\bSpace.*\bAnd.*\bEnvironmental.*\bMedicine.*	null	null
BJOG An International Journal of Obstetrics Gynaecology	\bBJOG.*\bAn.*\bInternational.*\bJournal.*\bof.*\bObstetrics.*\bGynaecology.*	null	\bB.*\bJ.*\bO.*\bG.*
BMJ	\bBMJ.*	\bB.*\bM.*\bJ.*	null
Bbit J Surg	\bBbit.*\bJ.*\bSurg.*	null	null
Best Practice Research in Clinical Obstetrics Gynaecology	\bBest.*\bPractice.*\bResearch.*\bin.*\bClinical.*\bObstetrics.*\bGynaecology.*	null	null
Best Practice and Research	\bBest.*\bPractice.*\band.*\bResearch.*	null	null
Biopolymers	\bBiopolymers.*	null	null
Bmj	\bBmj.*	null	\bB.*\bm.*\bj.*
Bmj British Medical Journal	\bBmj.*\bBritish.*\bMedical.*\bJournal.*	null	null
Br Heart J	\bBr.*\bHeart.*\bJ.*	null	null
Br J Anaesth	\bBr.*\bJ.*\bAnaesth.*	null	null
Br J Cancer	\bBr.*\bJ.*\bCancer.*	null	null
Br J Surg	\bBr.*\bJ.*\bSurg.*	null	null
Bratisl Lek Listy	\bBratisl.*\bLek.*\bListy.*	null	null
Bratislava Medical Journal Bratislavske Lekarske Listy	\bBratislava.*\bMedical.*\bJournal.*\bBratislavske.*\bLekarske.*\bListy.*	null	null
Bratislava Medical Journalbratislavske Lekarske Listy	\bBratislava.*\bMedical.*\bJournalbratislavske.*\bLekarske.*\bListy.*	null	null
Bratislavske lekarske listy	\bBratislavske.*\blekarske.*\blisty.*	null	null
Brit Heart J	\bBrit.*\bHeart.*\bJ.*	null	null
British Journal of Cancer	\bBritish.*\bJournal.*\bof.*\bCancer.*	null	null
British Journal of Obstetrics and Gynaecology	\bBritish.*\bJournal.*\bof.*\bObstetrics.*\band.*\bGynaecology.*	null	null
British Journal of Surgery	\bBritish.*\bJournal.*\bof.*\bSurgery.*	null	null
British Medical Journal	\bBritish.*\bMedical.*\bJournal.*	null	null
British journal of anaesthesia	\bBritish.*\bjournal.*\bof.*\banaesthesia.*	null	null
Bull Acad National Med	\bBull.*\bAcad.*\bNational.*\bMed.*	null	null
Bulletin De L Academie Nationale De Medecine	\bBulletin.*\bDe.*\bL.*\bAcademie.*\bNationale.*\bDe.*\bMedecine.*	null	null
C	\bC.*	null	null
CA Cancer Journal for Clinicians	\bCA.*\bCancer.*\bJournal.*\bfor.*\bClinicians.*	null	null
CA a Cancer Journal for Clinicians	\bCA.*\ba.*\bCancer.*\bJournal.*\bfor.*\bClinicians.*	null	null
CMAJ Canadian Medical Association Journal	\bCMAJ.*\bCanadian.*\bMedical.*\bAssociation.*\bJournal.*	null	null
CNS Neurol Disord Drug Targets	\bCNS.*\bNeurol.*\bDisord.*\bDrug.*\bTargets.*	null	\bC.*\bN.*\bS.*
Can Fam Physician	\bCan.*\bFam.*\bPhysician.*	null	null
Can J Cardiol	\bCan.*\bJ.*\bCardiol.*	null	null
Can J Public Health	\bCan.*\bJ.*\bPublic.*\bHealth.*	null	null
Can Vet J	\bCan.*\bVet.*\bJ.*	null	null
Canadian Association of Radiologists Journal	\bCanadian.*\bAssociation.*\bof.*\bRadiologists.*\bJournal.*	null	null
Canadian Association of Radiologists JournalJournal De L Association Canadienne Des Radiologistes	\bCanadian.*\bAssociation.*\bof.*\bRadiologists.*\bJournalJournal.*\bDe.*\bL.*\bAssociation.*\bCanadienne.*\bDes.*	null	null
Canadian Family Physician	\bCanadian.*\bFamily.*\bPhysician.*	null	null
Canadian Journal Of Emergency Medicine	\bCanadian.*\bJournal.*\bOf.*\bEmergency.*\bMedicine.*	null	null
Canadian Journal Of Public Healthrevue Canadienne De Sante Publique	\bCanadian.*\bJournal.*\bOf.*\bPublic.*\bHealthrevue.*\bCanadienne.*\bDe.*\bSante.*\bPublique.*	null	null
Canadian Journal Of Veterinary Research Revue Canadienne De Recherche Veterinaire	\bCanadian.*\bJournal.*\bOf.*\bVeterinary.*\bResearch.*\bRevue.*\bCanadienne.*\bDe.*\bRecherche.*\bVeterinaire.*	null	null
Canadian Journal of Cardiology	\bCanadian.*\bJournal.*\bof.*\bCardiology.*	null	null
Canadian Journal of Public Health	\bCanadian.*\bJournal.*\bof.*\bPublic.*\bHealth.*	null	null
Canadian Journal of Veterinary Research	\bCanadian.*\bJournal.*\bof.*\bVeterinary.*\bResearch.*	null	null
Canadian Medical Association Journal	\bCanadian.*\bMedical.*\bAssociation.*\bJournal.*	null	null
Canadian Respiratory Journal	\bCanadian.*\bRespiratory.*\bJournal.*	null	null
Canadian Veterinary Journal	\bCanadian.*\bVeterinary.*\bJournal.*	null	null
Canadian Veterinary Journalrevue Veterinaire Canadienne	\bCanadian.*\bVeterinary.*\bJournalrevue.*\bVeterinaire.*\bCanadienne.*	null	null
Cancer Chemother Pharmacol	\bCancer.*\bChemother.*\bPharmacol.*	null	null
Cancer Chemotherapy and Pharmacology Supplement	\bCancer.*\bChemotherapy.*\band.*\bPharmacology.*\bSupplement.*	null	null
Cancer Prevention Research	\bCancer.*\bPrevention.*\bResearch.*	null	null
Cancer Vaccines	\bCancer.*\bVaccines.*	null	null
Chin J Schistosomiasis Control	\bChin.*\bJ.*\bSchistosomiasis.*\bControl.*	null	null
Chin Med J	\bChin.*\bMed.*\bJ.*	null	null
Chinese Medical Journal	\bChinese.*\bMedical.*\bJournal.*	null	null
Chinese journal of reparative and reconstructive surgery	\bChinese.*\bjournal.*\bof.*\breparative.*\band.*\breconstructive.*\bsurgery.*	null	null
Chinese journal of tuberculosis and respiratory diseases	\bChinese.*\bjournal.*\bof.*\btuberculosis.*\band.*\brespiratory.*\bdiseases.*	null	null
Chir Mem Acad Chir	\bChir.*\bMem.*\bAcad.*\bChir.*	null	null
Chirurg	\bChirurg.*	null	null
Chirurg Zeitschrift f r alle Gebiete der operativen Medizen	\bChirurg.*\bZeitschrift.*\bf.*\br.*\balle.*\bGebiete.*\bder.*\boperativen.*\bMedizen.*	null	null
Chirurgie	\bChirurgie.*	null	null
Chirurgie Memoires de l Academie de Chirurgie	\bChirurgie.*\bMemoires.*\bde.*\bl.*\bAcademie.*\bde.*\bChirurgie.*	null	null
Chung Hua Chieh Ho Ho Hu Hsi Tsa Chih Chinese Journal of Tuberculosis Respiratory Diseases	\bChung.*\bHua.*\bChieh.*\bHo.*\bHo.*\bHu.*\bHsi.*\bTsa.*\bChih.*\bChinese.*	null	null
Chung Kuo Hsiu Fu Chung Chien Wai Ko Tsa Chih	\bChung.*\bKuo.*\bHsiu.*\bFu.*\bChung.*\bChien.*\bWai.*\bKo.*\bTsa.*\bChih.*	null	null
Chung Kuo Hsiu Fu Chung Chien Wai Ko Tsa Chih Chinese Journal of Reparative Reconstructive Surgery	\bChung.*\bKuo.*\bHsiu.*\bFu.*\bChung.*\bChien.*\bWai.*\bKo.*\bTsa.*\bChih.*	null	null
ChungHua Chieh Ho Ho Hu Hsi Tsa Chih Chinese Journal of Tuberculosis Respiratory Diseases	\bChungHua.*\bChieh.*\bHo.*\bHo.*\bHu.*\bHsi.*\bTsa.*\bChih.*\bChinese.*\bJournal.*	null	null
ChungKuo Hsiu Fu Chung Chien Wai Ko Tsa Chih Chinese Journal of Reparative Reconstructive Surgery	\bChungKuo.*\bHsiu.*\bFu.*\bChung.*\bChien.*\bWai.*\bKo.*\bTsa.*\bChih.*\bChinese.*	null	null
Cir Cir	\bCir.*\bCir.*	null	null
Circulation	\bCirculation.*	null	null
Cirugia y Cirujanos	\bCirugia.*\by.*\bCirujanos.*	null	null
Cjem	\bCjem.*	null	\bC.*\bj.*\be.*\bm.*
Clin Chem	\bClin.*\bChem.*	null	null
Clin Epidemiol	\bClin.*\bEpidemiol.*	null	null
Clin Gastroenterol Hepatol	\bClin.*\bGastroenterol.*\bHepatol.*	null	null
Clin Lung Cancer	\bClin.*\bLung.*\bCancer.*	null	null
Clin Lymphoma	\bClin.*\bLymphoma.*	null	null
Clin Med Insights Circ Respir Pulm Med	\bClin.*\bMed.*\bInsights.*\bCirc.*\bRespir.*\bPulm.*\bMed.*	null	null
Clin Orthop Rel Res	\bClin.*\bOrthop.*\bRel.*\bRes.*	null	null
Clin Transplant	\bClin.*\bTransplant.*	null	null
Clinical Cancer Research	\bClinical.*\bCancer.*\bResearch.*	null	null
Clinical Chemistry	\bClinical.*\bChemistry.*	null	null
Clinical Epigenetics	\bClinical.*\bEpigenetics.*	null	null
Clinical Epigenetics 9 1	\bClinical.*\bEpigenetics.*\b9.*\b1.*	null	null
Clinical Gastroenterology and Hepatology	\bClinical.*\bGastroenterology.*\band.*\bHepatology.*	null	null
Clinical Lymphoma and Myeloma	\bClinical.*\bLymphoma.*\band.*\bMyeloma.*	null	null
Clinical Transplantation	\bClinical.*\bTransplantation.*	null	null
Clinical cancer research an official journal of the American Association for Cancer Research	\bClinical.*\bcancer.*\bresearch.*\ban.*\bofficial.*\bjournal.*\bof.*\bthe.*\bAmerican.*\bAssociation.*	null	null
Cmaj	\bCmaj.*	null	\bC.*\bm.*\ba.*\bj.*
Cns Neurological Disordersdrug Targets	\bCns.*\bNeurological.*\bDisordersdrug.*\bTargets.*	null	null
Comp Med	\bComp.*\bMed.*	null	null
Comparative Medicine	\bComparative.*\bMedicine.*	null	null
Confain	\bConfain.*	null	null
Confain Psychiat	\bConfain.*\bPsychiat.*	null	null
Confinia Psychiatrica	\bConfinia.*\bPsychiatrica.*	null	null
Confinia psychiatrica	\bConfinia.*\bpsychiatrica.*	null	null
Confinia psychiatrica Borderland of psychiatry Grenzgebiete der Psychiatrie Les Confins de la psychiatrie	\bConfinia.*\bpsychiatrica.*\bBorderland.*\bof.*\bpsychiatry.*\bGrenzgebiete.*\bder.*\bPsychiatrie.*\bLes.*\bConfins.*	null	null
Confins de la psychiatrie	\bConfins.*\bde.*\bla.*\bpsychiatrie.*	null	null
Contrib Nephrol	\bContrib.*\bNephrol.*	null	null
Contributions to Nephrology	\bContributions.*\bto.*\bNephrology.*	null	null
Curr Drug Targets	\bCurr.*\bDrug.*\bTargets.*	null	null
Curr Med Chem	\bCurr.*\bMed.*\bChem.*	null	null
Curr Neuropharmacol	\bCurr.*\bNeuropharmacol.*	null	null
Curr Oncol	\bCurr.*\bOncol.*	null	null
Curr Opin Drug Discov Devel	\bCurr.*\bOpin.*\bDrug.*\bDiscov.*\bDevel.*	null	null
Curr Opin Mol Ther	\bCurr.*\bOpin.*\bMol.*\bTher.*	null	null
Curr Opin Pulm Med	\bCurr.*\bOpin.*\bPulm.*\bMed.*	null	null
Curr Opin Rheumatol	\bCurr.*\bOpin.*\bRheumatol.*	null	null
Curr Top Med Chem	\bCurr.*\bTop.*\bMed.*\bChem.*	null	null
Curr Top Microbiol Immunol	\bCurr.*\bTop.*\bMicrobiol.*\bImmunol.*	null	null
Curr Vasc Pharmacol	\bCurr.*\bVasc.*\bPharmacol.*	null	null
Current Drug Targets	\bCurrent.*\bDrug.*\bTargets.*	null	null
Current Medicinal Chemistry	\bCurrent.*\bMedicinal.*\bChemistry.*	null	null
Current Opinion In Drug Discovery Development	\bCurrent.*\bOpinion.*\bIn.*\bDrug.*\bDiscovery.*\bDevelopment.*	null	null
Current Opinion In Molecular Therapeutics	\bCurrent.*\bOpinion.*\bIn.*\bMolecular.*\bTherapeutics.*	null	null
Current Opinion In Rheumatology	\bCurrent.*\bOpinion.*\bIn.*\bRheumatology.*	null	null
Current Opinion in Pulmonary Medicine	\bCurrent.*\bOpinion.*\bin.*\bPulmonary.*\bMedicine.*	null	null
Current Topics In Medicinal Chemistry	\bCurrent.*\bTopics.*\bIn.*\bMedicinal.*\bChemistry.*	null	null
Current Vascular Pharmacology	\bCurrent.*\bVascular.*\bPharmacology.*	null	null
Current neuropharmacology	\bCurrent.*\bneuropharmacology.*	null	null
Current oncology	\bCurrent.*\boncology.*	null	null
Current topics in microbiology and immunology	\bCurrent.*\btopics.*\bin.*\bmicrobiology.*\band.*\bimmunology.*	null	null
Cytometry	\bCytometry.*	null	null
Dan Med J	\bDan.*\bMed.*\bJ.*	null	null
Danish Medical Journal	\bDanish.*\bMedical.*\bJournal.*	null	null
Deutsch Arztebl Int	\bDeutsch.*\bArztebl.*\bInt.*	null	null
Deutsch Med Wochenschr	\bDeutsch.*\bMed.*\bWochenschr.*	null	null
DeutschMedWochenschr	\bDeutschMedWochenschr.*	null	null
Deutsche Medizinische Wochenschrift	\bDeutsche.*\bMedizinische.*\bWochenschrift.*	null	null
Deutsche medizinische Wochenschrift	\bDeutsche.*\bmedizinische.*\bWochenschrift.*	null	null
Diagn Imaging	\bDiagn.*\bImaging.*	null	null
Diagn Imaging Clin Med	\bDiagn.*\bImaging.*\bClin.*\bMed.*	null	null
Diagnostic Imaging	\bDiagnostic.*\bImaging.*	null	null
Diagnostic Imaging in Clinical Medicine	\bDiagnostic.*\bImaging.*\bin.*\bClinical.*\bMedicine.*	null	null
Discov Med	\bDiscov.*\bMed.*	null	null
Discovery medicine	\bDiscovery.*\bmedicine.*	null	null
Eastern Mediterranean Health Journal	\bEastern.*\bMediterranean.*\bHealth.*\bJournal.*	null	null
Eastern Mediterranean health journal La revue de sant de la M diterran e orientale alMajallah al i yah lisharq almutawassi	\bEastern.*\bMediterranean.*\bhealth.*\bjournal.*\bLa.*\brevue.*\bde.*\bsant.*\bde.*\bla.*	null	null
Electhoenceph Clin Neukophysiol	\bElecthoenceph.*\bClin.*\bNeukophysiol.*	null	null
Electroenceph	\bElectroenceph.*	null	null
Electroencephalography Clinical Neurophysiology	\bElectroencephalography.*\bClinical.*\bNeurophysiology.*	null	null
Electroencephalography and clinical neurophysiology	\bElectroencephalography.*\band.*\bclinical.*\bneurophysiology.*	null	null
Encephale	\bEncephale.*	null	null
Encephalerevue De Psychiatrie Clinique Biologique Et Therapeutique	\bEncephalerevue.*\bDe.*\bPsychiatrie.*\bClinique.*\bBiologique.*\bEt.*\bTherapeutique.*	null	null
Environ Health Perspect	\bEnviron.*\bHealth.*\bPerspect.*	null	null
Environmental Health Perspectives	\bEnvironmental.*\bHealth.*\bPerspectives.*	null	null
Etude des effets ei ectrophysiologiques de la psilocybine chez un cercopithecinae papio papio	\bEtude.*\bdes.*\beffets.*\bei.*\bectrophysiologiques.*\bde.*\bla.*\bpsilocybine.*\bchez.*\bun.*	null	null
Etude des effets ei ectrophysiologiques de la psilocybine chez un cercopithecine papio papio	\bEtude.*\bdes.*\beffets.*\bei.*\bectrophysiologiques.*\bde.*\bla.*\bpsilocybine.*\bchez.*\bun.*	null	null
Etude des effets electrophysiologiques de la psilocybine chez un cercopithecinae papio papio	\bEtude.*\bdes.*\beffets.*\belectrophysiologiques.*\bde.*\bla.*\bpsilocybine.*\bchez.*\bun.*\bcercopithecinae.*	null	null
Etude des effets electrophysiologiques de la psilocybine chez un cercopithecine papio papio	\bEtude.*\bdes.*\beffets.*\belectrophysiologiques.*\bde.*\bla.*\bpsilocybine.*\bchez.*\bun.*\bcercopithecine.*	null	null
Eur Cell Mater	\bEur.*\bCell.*\bMater.*	null	null
Eur J Cancer	\bEur.*\bJ.*\bCancer.*	null	null
Eur J Cancer Care	\bEur.*\bJ.*\bCancer.*\bCare.*	null	null
Eur J Cardiothorac Surg	\bEur.*\bJ.*\bCardiothorac.*\bSurg.*	null	null
Eur J Gastroenterol Hepatol	\bEur.*\bJ.*\bGastroenterol.*\bHepatol.*	null	null
Eur J Oral Implantol	\bEur.*\bJ.*\bOral.*\bImplantol.*	null	null
Eur J Paediatr Dent	\bEur.*\bJ.*\bPaediatr.*\bDent.*	null	null
Eur J Pediatr	\bEur.*\bJ.*\bPediatr.*	null	null
Eur J Respir Dis	\bEur.*\bJ.*\bRespir.*\bDis.*	null	null
Eur Rev Med Pharmacol Sci	\bEur.*\bRev.*\bMed.*\bPharmacol.*\bSci.*	null	null
EurJRespirDis	\bEurJRespirDis.*	null	null
